date,merged file,link_link,called (NaN: not available; 1=yes; 0=not interested;),irrelevant,Erlaubnis nochmal anrufen,hilfsbereit/gesprächig,website,Nummer,job,Notizen
,,https://www.google.com/maps/place/Dr.med.+Ulrich+Seltsam/data=!4m7!3m6!1s0x4173153bb7e21361:0xe985e94dfc1472b8!8m2!3d50.053528!4d9.6947932!16s%2Fg%2F1tdj_ls1!19sChIJYRPitzsVc0ERuHIU_E3phek?authuser=0&hl=de&rclk=1,,,,,http://www.praxis-dr-seltsam.de/,,doc,
,,https://www.google.com/maps/place/Dr.+Margit+Geyer/data=!4m7!3m6!1s0x47a2c4741b65479d:0xa78e958d98831aa2!8m2!3d50.059!4d9.68814!16s%2Fg%2F11d_tz3dh_!19sChIJnUdlG3TEokcRohqDmI2Vjqc?authuser=0&hl=de&rclk=1,,,,,http://www.praxisgeyer.de/,,doc,
,,https://www.google.com/maps/place/Dr.+med.+Johannes+Brodkorb/data=!4m7!3m6!1s0x47a2c468255765b7:0x4f685322ff42acd5!8m2!3d50.0549533!4d9.6921795!16s%2Fg%2F1tdr29j5!19sChIJt2VXJWjEokcR1axC_yJTaE8?authuser=0&hl=de&rclk=1,,,,,http://www.dr-brodkorb.de/,,doc,
,,https://www.google.com/maps/place/Helena+Hammerschmidt/data=!4m7!3m6!1s0x47a2c9eacc28bdbf:0x82974af67cdb9d5c!8m2!3d49.99811!4d9.56708!16s%2Fg%2F11fl95jv0k!19sChIJv70ozOrJokcRXJ3bfPZKl4I?authuser=0&hl=de&rclk=1,,,,,0,,,
,,https://www.google.com/maps/place/Psychotherapeutische+Praxis+f%C3%BCr+Kinder+und+Jugendliche+-+Dipl.-Psychologe+Florian+Fietzek/data=!4m7!3m6!1s0x47a2c442c7256eb3:0xb9686b529e682171!8m2!3d50.0561494!4d9.6899592!16s%2Fg%2F11f4kskc1c!19sChIJs24lx0LEokcRcSFonlJraLk?authuser=0&hl=de&rclk=1,,,,,http://www.psychotherapie-fietzek.de/,,psy,
,,https://www.google.com/maps/place/Mark+Nagel+Krankengymnastik/data=!4m7!3m6!1s0x47a2c46906757c07:0xee581460a3c20a60!8m2!3d50.0534881!4d9.6949831!16s%2Fg%2F11cs2b1860!19sChIJB3x1BmnEokcRYArCo2AUWO4?authuser=0&hl=de&rclk=1,,,,,http://krankengymnastik-gemuenden.de/,,physio,
,,https://www.google.com/maps/place/Herr+Dr.+med.+Lutz+Deicke/data=!4m7!3m6!1s0x47a2c468255765b7:0xe1b90619cc87cb6f!8m2!3d50.0549533!4d9.6921795!16s%2Fg%2F1ttdxg02!19sChIJt2VXJWjEokcRb8uHzBkGueE?authuser=0&hl=de&rclk=1,,,,,http://www.praxis-deicke.de/,,doc,
,,https://www.google.com/maps/place/Herr+Helmut+Aulbach/data=!4m7!3m6!1s0x47a2c442be776de5:0xff2483b4f7a63dd!8m2!3d50.0558683!4d9.6904523!16s%2Fg%2F1tc_q02g!19sChIJ5W13vkLEokcR3WN6TztI8g8?authuser=0&hl=de&rclk=1,,,,,0,,doc,
,,https://www.google.com/maps/place/Daniela+H%C3%B6fling+Osteopathie/data=!4m7!3m6!1s0x47a2c10cb6d202bd:0x227e4b0ba9a36b55!8m2!3d50.0001688!4d9.7451548!16s%2Fg%2F1ptw5pml5!19sChIJvQLStgzBokcRVWujqQtLfiI?authuser=0&hl=de&rclk=1,,,,,http://www.osteopathie-hoefling.de/,,hp,
,,https://www.google.com/maps/place/Bo+%26+S+GmbH+%26+Co.+KG/data=!4m7!3m6!1s0x47a2c3e1792d09a3:0x9205b71dfbf8e692!8m2!3d50.02551!4d9.72877!16s%2Fg%2F113djr8nv!19sChIJowkteeHDokcRkub4-x23BZI?authuser=0&hl=de&rclk=1,,,,,https://www.bo-und-s.com/,,,
,,https://www.google.com/maps/place/Britta+Meinersmann/data=!4m7!3m6!1s0x47a2c468255765b7:0xb3b8a5eb0b0f1a6c!8m2!3d50.0549263!4d9.692087!16s%2Fg%2F1trqg6mg!19sChIJt2VXJWjEokcRbBoPC-uluLM?authuser=0&hl=de&rclk=1,,,,,http://www.augenarztpraxis-meinersmann.de/,,doc,
,,https://www.google.com/maps/place/Kosmetikstudio+Heike/data=!4m7!3m6!1s0x47a2c4724da85f19:0x2db1982568f9760b!8m2!3d50.0487319!4d9.7058901!16s%2Fg%2F1tkc137w!19sChIJGV-oTXLEokcRC3b5aCWYsS0?authuser=0&hl=de&rclk=1,,,,,http://www.kosmetik-heike.de/,,,
,,https://www.google.com/maps/place/Mainfr%C3%A4nkische+Werkst%C3%A4tten/data=!4m7!3m6!1s0x47a2c3e6d000749f:0x8983fdf01434ffa1!8m2!3d50.0283779!4d9.7313335!16s%2Fg%2F11bzyq8d8g!19sChIJn3QA0ObDokcRof80FPD9g4k?authuser=0&hl=de&rclk=1,,,,,0,,,
